,Date,county Name,Distance,Time,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Avg Stride Length,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,AQI,Category
835,3/20/19,Westchester,0.27,01:48.9,186,190,6:45,4:48,1.28,00:00.0,1,0:01:45,01:48.9,44,Good
475,10/8/20,Middlesex,2.08,0:13:57,186,192,6:43,5:36,1.28,00:25.3,3,0:13:55,0:13:57,29,Good
1029,11/7/18,Westchester,2.02,0:15:04,170,200,7:27,3:42,1.27,00:00.0,3,0:15:04,0:15:04,26,Good
1089,9/8/18,Westchester,2.89,0:21:07,174,214,7:19,4:21,1.27,00:00.0,5,0:21:07,0:21:07,19,Good
739,4/25/19,Westchester,2.85,0:20:25,178,184,7:09,5:24,1.27,06:18.0,3,0:20:14,0:20:25,33,Good
322,12/8/20,Westchester,0.51,03:30.8,184,188,6:54,5:47,1.27,03:30.8,1,03:30.8,03:30.8,25,Good
186,4/14/21,Middlesex,0.52,03:25.2,192,194,6:37,6:11,1.27,03:25.2,1,0:03:25,03:25.2,38,
1017,11/12/18,Westchester,0.51,03:42.7,174,176,7:19,6:24,1.26,00:00.0,1,0:03:37,03:42.7,34,Good
1095,8/31/18,Westchester,2.8,0:20:27,174,184,7:19,5:31,1.26,00:00.0,5,0:20:27,0:20:27,24,Good
869,2/23/19,Westchester,3.22,0:23:12,178,182,7:13,6:28,1.26,07:07.7,4,0:22:55,0:23:13,36,Good
462,10/16/20,Middlesex,3.09,0:21:59,180,192,7:06,4:54,1.26,00:40.6,4,0:21:58,0:21:59,31,Good
696,5/30/19,Westchester,3,0:20:58,182,194,6:59,5:23,1.26,00:01.1,4,0:20:49,0:20:58,25,Good
1137,7/21/18,Westchester,3.14,0:23:53,170,184,7:37,6:08,1.25,00:00.0,4,0:23:53,0:23:53,33,Good
1065,10/3/18,Westchester,2.68,0:20:15,170,200,7:33,4:58,1.25,00:00.0,3,0:20:15,0:20:15,26,Good
1087,9/13/18,Westchester,3.1,0:23:20,172,186,7:32,5:11,1.25,00:00.0,5,0:23:21,0:23:20,21,Good
