Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,3/24/21 16:37,FALSE,Waltham Running,0.52,49,05:46.8,170,222,11:06,10:05,--,--,0.85,0,0,0,0,0,0:00,0,0:00,No,05:46.8,1,0,05:46.8,05:46.8,39,45
Running,12/12/20 13:51,FALSE,Ossining Running,0.5,45,05:34.9,168,200,11:04,9:45,--,--,0.87,0,0,0,0,0,0:00,0,0:00,No,05:34.9,1,0,05:34.9,05:34.9,308,318
Running,10/10/20 16:57,FALSE,Waltham Running,0.52,46,05:44.1,168,188,11:01,10:32,--,--,0.87,0,0,0,0,0,0:00,0,0:00,No,05:44.1,1,0,0:05:44,05:44.1,39,45
Running,7/28/21 13:23,FALSE,Waltham Running,2.5,274,0:27:27,170,176,10:59,9:39,16,14,0.86,0,0,0,0,0,0:00,0,0:00,No,05:17.7,3,0,0:27:27,0:28:38,36,63
Running,8/2/21 8:02,FALSE,Running,0.84,91,09:11.5,168,180,10:58,9:00,--,--,0.87,0,0,0,0,0,0:00,0,0:00,No,09:11.5,1,0,09:11.5,09:11.5,--,--
Running,2/24/21 17:27,FALSE,Running,0.5,53,05:27.7,170,178,10:57,5:14,--,--,0.86,0,0,0,0,0,0:00,0,0:00,No,05:27.7,1,0,0:05:27,05:27.7,--,--
Running,8/1/21 6:47,FALSE,Ossining Running,6,641,1:05:19,170,176,10:53,9:46,55,52,0.87,0,0,0,0,0,0:00,0,0:00,No,00:01.4,7,0,1:05:18,1:05:28,305,364
Running,6/28/21 7:28,FALSE,Waltham Running,1,95,0:10:55,174,184,10:53,9:46,6,--,0.85,0,0,0,0,0,0:00,0,0:00,No,00:01.8,2,0,0:10:55,0:11:26,39,47
Running,9/29/20 19:11,FALSE,Running,0.58,55,06:20.6,166,200,10:52,9:50,--,--,0.89,0,0,0,0,0,0:00,0,0:00,No,06:20.6,1,0,06:20.6,06:20.6,--,--
Running,3/29/21 19:52,FALSE,Waltham Running,0.79,82,08:36.0,174,188,10:51,10:01,--,--,0.85,0,0,0,0,0,0:00,0,0:00,No,08:36.0,1,0,0:08:36,08:36.0,39,46
